hhid,idc,relation,sex,age,marital,born_here,dist_birth,move_year,dist_origin,mig_reason,diff_seeing,diff_hearing,diff_walking,diff_memory,diff_selfcare,diff_communicating,any_disability,can_read,can_write,can_math,school_type,grade_now,school_km,ed_admission,ed_uniform,ed_books,ed_exam,ed_tuition,ed_transport,ed_hostel,ed_other,ed_total,literate,emp_status,earn_month,months_worked,earn_year,emp_status2,earn_second,other_work,earn_other,sold_kind,earn_kind,inc_pension,income_shared_hh,earn_annual
101100119,1,1,1,62,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100119,2,2,2,55,2,1,,,,,1,1,2,1,1,1,1,2,,1,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100122,1,1,1,34,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,4,,,150000,,,2,,2,,,1,150000
101100122,2,2,2,27,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100122,3,5,1,68,3,1,,,,,1,1,1,1,1,1,0,2,,1,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100122,4,6,2,30,1,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100203,1,1,1,70,2,1,,,,,1,1,3,3,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,130000,1,
101100203,2,2,2,63,2,1,,,,,1,1,1,1,1,1,0,2,,2,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100203,3,3,1,34,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,4,35000,12,,,,2,,2,,,1,420000
101100203,4,8,2,25,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100203,5,4,1,6,1,1,,,,,1,1,1,1,1,1,0,,,,1,1,1,500,2500,2000,0,0,0,0,1000,6000,,,,,,,,,,,,,,
101100203,6,4,1,4,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100203,7,4,1,2,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100203,8,3,1,35,3,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,3,16000,10,,,,2,,2,,,1,160000
101100210,1,1,1,47,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,3,8000,11,,,,2,,2,,120000,1,88000
101100210,2,2,2,45,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100210,3,3,1,22,1,1,,,,,1,1,1,1,1,1,0,1,1,1,1,13,3,5000,3000,5000,2500,0,2000,0,2000,19500,1,,,,,,,2,,2,,,3,
101100210,4,3,1,15,1,1,,,,,1,1,1,1,1,1,0,1,1,1,2,11,1,15000,4000,5500,1500,0,0,0,1500,27500,1,,,,,,,2,,2,,,3,
101100210,5,3,2,3,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100405,1,1,1,28,1,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,4,28000,12,,,,2,,2,,,1,336000
101100405,2,5,2,55,3,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100405,3,6,2,32,1,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100407,1,1,1,47,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,1,85000,12,,,,2,,2,,,1,1020000
101100407,2,2,2,44,2,1,,,,,1,1,2,1,1,1,1,2,,1,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100407,3,3,1,22,1,1,,,,,1,1,1,1,1,1,0,1,1,1,2,20,2,,,,,,,,,300000,1,,,,,,,2,,2,,,3,
101100407,4,3,1,16,1,1,,,,,1,1,1,1,1,1,0,1,1,1,2,9,2,,,,,,,,,100000,1,,,,,,,2,,2,,,3,
101100410,1,1,1,30,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,4,26000,12,,,,2,,2,,,1,312000
101100410,2,2,2,23,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100420,1,1,1,41,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,4,25000,12,,,,2,,2,,,1,300000
101100420,2,2,2,39,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100420,3,3,1,10,1,1,,,,,1,1,1,1,1,1,0,1,1,1,1,4,1,,,,,,,,,2300,1,,,,,,,2,,2,,,3,
101100420,4,3,2,5,1,1,,,,,1,1,1,1,1,1,0,,,,1,1,1,,,,,,,,,2000,,,,,,,,,,,,,,
101100420,5,3,1,4,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100420,6,3,1,3,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100420,7,3,2,1,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100427,1,1,1,35,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,4,25000,12,,,,2,,2,,,1,300000
101100427,2,2,2,30,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100427,3,3,2,4,1,1,,,,,1,1,1,1,1,1,0,,,,2,26,1,,,,,,,,,10000,,,,,,,,,,,,,,
101100427,4,3,1,2,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100427,5,3,2,1,1,1,,,,,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100510,1,1,1,60,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,3,18000,11,,,,2,,2,,,1,198000
101100510,2,2,2,55,2,1,,,,,1,1,1,1,1,1,0,2,,2,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100510,3,3,1,35,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,3,25000,12,,,,2,,2,,,1,300000
101100510,4,8,2,32,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100510,5,4,1,9,1,1,,,,,1,1,1,1,1,1,0,,,,1,4,1,1000,2500,2700,0,0,0,0,500,6700,,,,,,,,,,,,,,
101100510,6,3,1,28,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,3,20000,12,,,,2,,2,,,1,240000
101100510,7,8,2,25,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100513,1,1,1,60,2,1,,,,,1,1,1,1,1,1,0,2,,2,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100513,2,2,2,50,2,1,,,,,1,1,1,1,1,1,0,2,,2,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100513,3,3,1,19,1,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,3,20000,11,,,,2,,2,,,1,220000
101100513,4,3,1,15,1,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,5,,,,,,2,,2,,,3,
101100513,5,3,2,17,1,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100518,1,1,1,60,2,1,,,,,1,2,1,1,1,1,1,2,,2,,,,,,,,,,,,,0,6,,,40000,,,2,,2,,,1,40000
101100518,2,2,2,55,2,1,,,,,1,1,2,1,1,1,1,2,,2,,,,,,,,,,,,,0,5,,,,,,2,,2,,,3,
101100518,3,3,1,25,2,1,,,,,1,1,1,1,1,1,0,2,,2,,,,,,,,,,,,,0,5,,,,,,2,,2,,,3,
101100518,4,8,2,23,2,1,,,,,1,1,1,1,1,1,0,1,1,2,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100518,5,3,1,23,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,3,20000,11,,,,2,,2,,,1,220000
101100518,6,8,2,20,2,1,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,1,,,,,,,2,,2,,,3,
101100518,7,3,1,21,1,1,,,,,1,1,1,1,1,1,0,2,,2,,,,,,,,,,,,,0,,,,,,,2,,2,,,3,
101100518,8,3,1,16,1,1,,,,,1,1,1,1,1,1,0,1,1,1,1,8,1,1000,2000,2200,0,0,0,0,600,5800,1,,,,,,,2,,2,,,3,
