iso3,country,year,region,income,capital,lat,lon,gdppc_ppp,gdp_growth,inflation,lfp_total,lfp_female,enrol_prim,life_exp,internet
BGD,Bangladesh,1990,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2069.78230100672,5.62225816160344,6.12671846981458,56.777,24.207,75.4154434204102,55.822,0
BGD,Bangladesh,1991,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2101.38366035658,3.48522781598027,6.35736412278234,56.918,24.564,,53.781,
BGD,Bangladesh,1992,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2174.38232866943,5.44268554966725,3.63407691798491,57.069,24.977,,56.592,
BGD,Bangladesh,1993,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2234.8101219225,4.71156172453999,3.01481859989799,57.219,25.434,,57.073,
BGD,Bangladesh,1994,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2279.09435302944,3.89012644116818,5.31374007936498,57.375,25.931,,57.64,
BGD,Bangladesh,1995,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2351.70387946903,5.12127789724337,10.2978117947206,57.533,26.467,,58.244,
BGD,Bangladesh,1996,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2413.54298201505,4.52291921684423,2.37712902953223,57.69,27.021,,58.94,
BGD,Bangladesh,1997,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2475.59574602489,4.4898964976265,5.30560105668802,57.837,27.531,,59.671,7.51e-4
BGD,Bangladesh,1998,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2555.06119218282,5.1770268731498,8.40223795613228,57.966,27.966,,60.429,0.00368
BGD,Bangladesh,1999,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2624.06553797638,4.67015636882111,6.10669589841958,58.076,28.345,,61.244,0.0362
BGD,Bangladesh,2000,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2712.93512215725,5.29329471892532,2.20825620937535,58.163,28.671,,62.049,0.0710394230507683
BGD,Bangladesh,2001,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2803.55471950946,5.07728777526728,2.0071737421384,58.206,28.878,,62.836,0.129807973947512
BGD,Bangladesh,2002,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2866.43454328715,3.83312393993225,3.33256493271913,58.207,28.98,,63.591,0.13992028850905
BGD,Bangladesh,2003,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2958.91503115633,4.73956739963045,5.66870773441476,58.187,29.055,,64.288,0.163877665498048
BGD,Bangladesh,2004,South Asia,Lower middle income,Dhaka,23.7055,90.4113,3071.83778764611,5.23953291029852,7.5875363850469,58.156,29.123,,64.912,0.199036333744363
BGD,Bangladesh,2005,South Asia,Lower middle income,Dhaka,23.7055,90.4113,3231.61370692891,6.53594493875502,7.04661816222039,58.12,29.194,96.386833190918,65.509,0.241600007
BGD,Bangladesh,2006,South Asia,Lower middle income,Dhaka,23.7055,90.4113,3407.4273502159,6.67190498576788,6.76526117054757,58.071,29.241,95.8766021728516,66.048,1
BGD,Bangladesh,2007,South Asia,Lower middle income,Dhaka,23.7055,90.4113,3608.91543819399,7.05859935449848,9.10698496905383,58.198,30.797,93.662353515625,66.458,1.799999952
BGD,Bangladesh,2008,South Asia,Lower middle income,Dhaka,23.7055,90.4113,3787.9382761855,6.01378975738535,8.90194489465154,58.324,32.398,90.3782272338867,67.047,2.5
BGD,Bangladesh,2009,South Asia,Lower middle income,Dhaka,23.7055,90.4113,3942.13631207203,5.04512479919337,5.42347236174679,58.45,34.041,92.5936737060547,67.527,3.0999999049999998
BGD,Bangladesh,2010,South Asia,Lower middle income,Dhaka,23.7055,90.4113,4125.46390163202,5.57178818533122,8.12667639169917,58.576,35.723,94.7762261175806,68.009,3.700000048
BGD,Bangladesh,2011,South Asia,Lower middle income,Dhaka,23.7055,90.4113,4352.42643359325,6.46437912497728,11.3951651552399,58.112,35.021,,68.499,4.5
BGD,Bangladesh,2012,South Asia,Lower middle income,Dhaka,23.7055,90.4113,4592.04840919812,6.52145877906443,6.21750422069284,57.647,34.316,,68.989,5
BGD,Bangladesh,2013,South Asia,Lower middle income,Dhaka,23.7055,90.4113,4822.72621378266,6.01360565834344,7.53040640913172,57.18,33.616,,69.487,6.63
BGD,Bangladesh,2014,South Asia,Lower middle income,Dhaka,23.7055,90.4113,5068.63965672741,6.0610593588495,6.99163889220849,56.817,33.571,,70.016,9.052900314
BGD,Bangladesh,2015,South Asia,Lower middle income,Dhaka,23.7055,90.4113,5352.71133299566,6.55263987816197,6.19428022984984,56.454,33.531,,70.543,12.36880016
BGD,Bangladesh,2016,South Asia,Lower middle income,Dhaka,23.7055,90.4113,5682.53553494306,7.11347821270093,5.51352572692995,56.09,33.497,,71.075,16.89909935
BGD,Bangladesh,2017,South Asia,Lower middle income,Dhaka,23.7055,90.4113,6005.70718781048,6.59024999794057,5.70207015717239,58.328,36.676,105.128820425409,71.606,21.5
BGD,Bangladesh,2018,South Asia,Lower middle income,Dhaka,23.7055,90.4113,6392.59334024091,7.31941263014136,5.54362139486476,58.915,38.056,107.18995771035,72.122,25.56509972
BGD,Bangladesh,2019,South Asia,Lower middle income,Dhaka,23.7055,90.4113,6838.32611608243,7.88191515117722,5.59199639930629,59.47,39.33,,72.625,30.38310051
BGD,Bangladesh,2020,South Asia,Lower middle income,Dhaka,23.7055,90.4113,7015.19792797056,3.44801755122445,5.69107474746211,59.77,40.323,110.066619873047,71.421,36.10910034
BGD,Bangladesh,2021,South Asia,Lower middle income,Dhaka,23.7055,90.4113,7441.06913961254,6.93867912442445,5.54565430773473,61.085,42.181,106.334849059692,71.103,38.91744466
BGD,Bangladesh,2022,South Asia,Lower middle income,Dhaka,23.7055,90.4113,7888.16389098304,7.09982877575158,7.69695437176898,61.873,43.687,107.802066750685,74.265,41.61650085
BGD,Bangladesh,2023,South Asia,Lower middle income,Dhaka,23.7055,90.4113,8242.39798977242,5.77511237007889,9.8835030377921,60.885,41.874,103.116421399751,74.672,44.50274195
BGD,Bangladesh,2024,South Asia,Lower middle income,Dhaka,23.7055,90.4113,8486.78495660517,4.22325911250161,10.4657482763412,58.903,38.708,106.491310395865,74.93,53.42171316
BGD,Bangladesh,2025,South Asia,Lower middle income,Dhaka,23.7055,90.4113,8676.7557622508,3.48990671836833,8.7687628116114,58.796,38.649,,,
ETH,Ethiopia,1990,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,874.346936177412,2.72645178272684,5.15248124174767,81.806,74.913,35.6632194519043,45.117,0
ETH,Ethiopia,1991,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,777.523566111367,-7.13747971659305,35.7225982298715,81.801,74.902,32.24951171875,46.657,
ETH,Ethiopia,1992,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,680.834766968487,-8.6724801143672,10.5274440119592,81.803,74.884,26.0608501434326,47.279,
ETH,Ethiopia,1993,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,743.708485784759,13.1428339363255,3.54306596166032,81.831,74.847,22.7072906494141,47.676,
ETH,Ethiopia,1994,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,741.176623590106,3.18996458331273,7.59387600185337,81.861,74.811,26.9080104827881,47.926,
ETH,Ethiopia,1995,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,760.264345010486,6.12751141587474,10.0221733553239,81.891,74.774,30.682279586792,48.156,1.75e-5
ETH,Ethiopia,1996,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,826.991658768996,12.4261737814951,-8.48424868948825,81.925,74.735,36.3454704284668,48.697,0.0017
ETH,Ethiopia,1997,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,826.005218027215,3.1339068517801,2.39520958083829,81.965,74.691,41.0171699523926,49.21,0.00497
ETH,Ethiopia,1998,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,772.786646386223,-3.4581391346848,0.894801693964107,82.009,74.645,49.6886405944824,49.785,0.00966
ETH,Ethiopia,1999,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,787.679577475987,5.16214582255112,7.94144864137325,82.047,74.606,48.1957511901855,49.486,0.0125
ETH,Ethiopia,2000,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,810.270749115591,6.07321748125295,0.662458109266482,82.073,74.575,52.2387313842773,50.88,0.0152637672082567
ETH,Ethiopia,2001,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,851.313428411291,8.30130632267965,-8.23784453391137,82.085,74.554,57.1306991577148,51.428,0.0371623810686744
ETH,Ethiopia,2002,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,838.298046952135,1.51472570667433,0.675089102170801,82.082,74.546,59.6043586730957,52.085,0.0724022618698295
ETH,Ethiopia,2003,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,795.772138298998,-2.16135972256865,13.6740452028272,82.067,74.548,60.7021408081055,52.877,0.105811658802603
ETH,Ethiopia,2004,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,877.114494958363,13.5726031401471,3.32737047894847,82.046,74.557,63.5657081604004,53.735,0.155334520794722
ETH,Ethiopia,2005,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,952.115666282409,11.8187659491625,9.96997123512892,82.019,74.571,74.5096893310547,54.364,0.219659818999505
ETH,Ethiopia,2006,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1024.72911937532,10.8347270679373,12.2994763114825,81.923,74.525,79.2329330444336,55.402,0.310592656856176
ETH,Ethiopia,2007,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1109.14330259683,11.4561670019891,17.2404008340898,81.826,74.481,85.4697265625,56.566,0.37
ETH,Ethiopia,2008,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1193.74728331296,10.7885216870332,44.3566858766952,81.729,74.439,91.4530181884766,57.733,0.449999988
ETH,Ethiopia,2009,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1262.46398000981,8.8025531990487,8.48364404530282,81.632,74.399,90.3419418334961,58.715,0.540000021
ETH,Ethiopia,2010,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1381.19044650715,12.5505383347633,8.14926402965082,81.534,74.36,88.511037030714,59.709,0.75
ETH,Ethiopia,2011,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1492.53396469943,11.1782962297008,33.2499598823344,81.435,74.322,90.6282577514648,60.595,1.100000024
ETH,Ethiopia,2012,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1576.76875733933,8.64781163513926,23.600417677317,81.337,74.286,89.9253221073517,61.443,2.9000000950000002
ETH,Ethiopia,2013,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1696.86515588665,10.5822700502552,7.46402192944517,81.238,74.251,,62.161,4.599999905
ETH,Ethiopia,2014,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1821.39161772403,10.2574929627477,6.89001951597192,79.608,72.219,93.1145890062913,62.927,7.699999809
ETH,Ethiopia,2015,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1957.41454184551,10.3924630141307,9.56889955968623,77.984,70.185,94.0857534729235,63.592,13.8551755555556
ETH,Ethiopia,2016,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2084.84055616471,9.43348265981905,6.62813337230924,76.368,68.148,,64.162,15.3669238595896
ETH,Ethiopia,2017,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2222.82824478259,9.56418965754014,10.6871150284238,74.758,66.108,101.223991472845,64.766,15.62440014
ETH,Ethiopia,2018,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2311.16511656359,6.81614778557282,13.8330356586661,73.16,64.059,,65.257,15.88619995
ETH,Ethiopia,2019,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2437.97046047967,8.36408573111346,15.8096321719344,71.573,62.001,,65.741,15.98460007
ETH,Ethiopia,2020,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2516.54907638899,6.05953089248577,20.3563468559061,69.391,59.297,112.6701710274,65.969,16.06959915
ETH,Ethiopia,2021,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2588.41310213778,5.64153069324176,26.8395221557722,68.253,57.555,101.338920969252,65.33,16.6981031
ETH,Ethiopia,2022,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2655.59276743639,5.32175988485454,33.8898797100898,68.472,58.001,84.6317733971345,66.897,17.9836998
ETH,Ethiopia,2023,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2757.95923626099,6.59424599054353,30.2188278135278,68.459,58.141,83.7319745881618,67.315,20.33749962
ETH,Ethiopia,2024,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,2892.22220162795,7.61277447616879,21.0377460577711,68.466,58.391,84.4160102082984,67.603,21.94129944
ETH,Ethiopia,2025,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,3094.86811868352,9.7715182202934,13.2296432836809,68.461,58.456,,,
GHA,Ghana,1990,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,2785.67114332501,3.32881788321653,37.2590664855671,73.074,70.054,65.1150131225586,55.395,0
GHA,Ghana,1991,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,2859.82702166411,5.28182639834429,18.0314390089849,73.055,70.074,72.6733016967773,55.722,
GHA,Ghana,1992,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,2897.83543196858,3.87941908037517,10.0561167448841,72.992,69.943,73.6917495727539,56.055,
GHA,Ghana,1993,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,2964.26600943658,4.85000055379412,24.9598424742497,72.929,69.811,72.8280868530273,56.286,
GHA,Ghana,1994,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,2989.34731012131,3.29999973947747,24.8702554369576,72.866,69.681,73.9287719726562,56.234,
GHA,Ghana,1995,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,3039.68873031674,4.11241897162861,59.4615536991446,72.803,69.553,72.9929962158203,56.662,3.48e-4
GHA,Ghana,1996,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,3106.18555480388,4.60246115564627,46.5610196762282,72.739,69.424,73.2914505004883,56.957,0.00565
GHA,Ghana,1997,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,3160.44504053249,4.19635744019571,27.8852086407527,72.676,69.293,76.4101104736328,57.241,0.0275
GHA,Ghana,1998,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,3229.48228272631,4.70039078427911,14.6241666666675,72.613,69.161,,57.525,0.0322
